particle_key,o2,o2_label,particle_label,feature,modality,mean,std,median,q25,q75,n_valid
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m7_h0_landscape_peak_t,Topological Summaries,1.3636884422110551,0.35522998794406285,1.3319095477386937,1.098241206030151,1.6590452261306534,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m7_h0_persistent_entropy,Topological Summaries,4.4123779271210495,0.12321308529976704,4.412009238767235,4.332672951623618,4.512714350334212,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m7_h1_betti1_mean,Topological Summaries,0.0179,0.017637743619862492,0.015,0.005,0.025,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m7_h1_betti1_var,Topological Summaries,0.0250685,0.02565029425269815,0.0171875,0.004975000000000004,0.038925,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m7_h1_landscape_integral,Topological Summaries,0.004885997266949693,0.013557573206345675,0.0005927563560192707,0.0002162163127049553,0.0019737507811252667,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m7_h1_landscape_peak_t,Topological Summaries,0.7958743718592965,0.9801422970552314,0.22198492462311561,0.16356783919597992,1.150816582914573,50
carbon_dsobp,0.005,True anoxia (0.005%),Carbon dSOBP (70.7 keV/µm),m7_h1_persistent_entropy,Topological Summaries,1.6496995505338552,0.45179614465405304,1.703233859496801,1.3041598549178846,1.96364311963058,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_centroid_x_um,Spatial Distribution,0.00604730678279719,0.019824119892633593,0.009744551718655466,-0.004400486795437311,0.017631876236263735,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_centroid_y_um,Spatial Distribution,0.00781976080474148,0.024388029720883022,0.005825346312245535,-0.008383646555691035,0.01907945858218623,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_centroid_z_um,Spatial Distribution,-0.0028714675039328273,0.2450320274437244,-0.0006646030544208469,-0.1744072558087355,0.12259459711159228,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_frac_nn_within_0.5um,Spatial Distribution,0.9602788120121791,0.01282173782787101,0.9623612395929695,0.9520939664600802,0.9691105769230769,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_frac_nn_within_1.0um,Spatial Distribution,0.9778400021186819,0.007722351032773534,0.978319623971798,0.9720735351435624,0.9822211592123096,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_frac_nn_within_2.0um,Spatial Distribution,0.9925045881355453,0.005999869615851937,0.9940809750630428,0.9888865991521432,0.9957499705200267,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_h0_max_lifetime_um,Spatial Distribution,2.7271883916854858,0.6833556732092382,2.660372495651245,2.211045205593109,3.326922655105591,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_h0_mean_lifetime_um,Spatial Distribution,0.15133212165027407,0.020010208308513012,0.14882328172057457,0.13791370975430517,0.16066708470806845,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_h0_n_long_components,Spatial Distribution,8.22,2.5790695996812496,8.0,7.0,9.0,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_h0_total_persistence_um,Spatial Distribution,28.8064512938555,3.7929642167680906,27.751670021330938,25.831600781864836,31.245418664351746,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_h1_max_persistence_um,Spatial Distribution,0.07749205991625786,0.0995162797457129,0.038427144289016724,0.02397419512271881,0.07400011271238327,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_h1_mean_persistence_um,Spatial Distribution,0.016758705080469054,0.013270919140330432,0.013346435136294792,0.01009964555888981,0.017835514011004795,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_h1_n_loops,Spatial Distribution,0.08,0.33704599092705434,0.0,0.0,0.0,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_h1_total_persistence_um,Spatial Distribution,0.17220340311527252,0.15670395924769198,0.12217576056718826,0.0825631283223629,0.23226682655513287,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_n_dsbs,Spatial Distribution,196.88,19.636333670010806,195.0,182.0,209.0,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_nn_mean_um,Spatial Distribution,0.113725142467465,0.01878902513437687,0.10960758268080553,0.10098890225592548,0.1256555982339819,50
carbon_dsobp,0.021,Radiobiological anoxia (0.021%),Carbon dSOBP (70.7 keV/µm),m1_nn_median_um,Spatial Distribution,0.04962178665416551,0.007620606478278433,0.05045747246133831,0.04501990194335291,0.05388849721523681,50
